facility_id,facility_name,missing_field,impact,suggested_source
DC-00043,Stream Phoenix,cooling_detail,High,Building permits / vendor case studies
DC-00043,Stream Phoenix,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00043,Stream Phoenix,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00043,Stream Phoenix,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00043,Stream Phoenix,latitude,Medium,Building permits / county GIS / OSM
DC-00043,Stream Phoenix,longitude,Medium,Building permits / county GIS / OSM
DC-00043,Stream Phoenix,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00043,Stream Phoenix,generation_mix,Medium,Utility IRP / sustainability reports
DC-00043,Stream Phoenix,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00043,Stream Phoenix,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00049,Stargate Abilene Phase 1,latitude,Medium,Building permits / county GIS / OSM
DC-00049,Stargate Abilene Phase 1,longitude,Medium,Building permits / county GIS / OSM
DC-00041,Vantage Goodyear,utility,Medium,State PUC dockets / utility IRP
DC-00041,Vantage Goodyear,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00041,Vantage Goodyear,cooling_detail,High,Building permits / vendor case studies
DC-00041,Vantage Goodyear,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00041,Vantage Goodyear,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00041,Vantage Goodyear,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00041,Vantage Goodyear,latitude,Medium,Building permits / county GIS / OSM
DC-00041,Vantage Goodyear,longitude,Medium,Building permits / county GIS / OSM
DC-00041,Vantage Goodyear,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00041,Vantage Goodyear,generation_mix,Medium,Utility IRP / sustainability reports
DC-00041,Vantage Goodyear,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00041,Vantage Goodyear,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00028,Meta Montgomery,utility,Medium,State PUC dockets / utility IRP
DC-00028,Meta Montgomery,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00028,Meta Montgomery,cooling_detail,High,Building permits / vendor case studies
DC-00028,Meta Montgomery,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00028,Meta Montgomery,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00028,Meta Montgomery,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00028,Meta Montgomery,latitude,Medium,Building permits / county GIS / OSM
DC-00028,Meta Montgomery,longitude,Medium,Building permits / county GIS / OSM
DC-00028,Meta Montgomery,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00028,Meta Montgomery,generation_mix,Medium,Utility IRP / sustainability reports
DC-00028,Meta Montgomery,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00028,Meta Montgomery,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00024,AVAIO Perseus,utility,Medium,State PUC dockets / utility IRP
DC-00024,AVAIO Perseus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00024,AVAIO Perseus,cooling_detail,High,Building permits / vendor case studies
DC-00024,AVAIO Perseus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00024,AVAIO Perseus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00024,AVAIO Perseus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00024,AVAIO Perseus,latitude,Medium,Building permits / county GIS / OSM
DC-00024,AVAIO Perseus,longitude,Medium,Building permits / county GIS / OSM
DC-00024,AVAIO Perseus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00024,AVAIO Perseus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00024,AVAIO Perseus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00024,AVAIO Perseus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00032,AWS Gilroy,latitude,Medium,Building permits / county GIS / OSM
DC-00032,AWS Gilroy,longitude,Medium,Building permits / county GIS / OSM
DC-00045,Microsoft Alviso,utility,Medium,State PUC dockets / utility IRP
DC-00045,Microsoft Alviso,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00045,Microsoft Alviso,cooling_detail,High,Building permits / vendor case studies
DC-00045,Microsoft Alviso,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00045,Microsoft Alviso,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00045,Microsoft Alviso,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00045,Microsoft Alviso,latitude,Medium,Building permits / county GIS / OSM
DC-00045,Microsoft Alviso,longitude,Medium,Building permits / county GIS / OSM
DC-00045,Microsoft Alviso,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00045,Microsoft Alviso,generation_mix,Medium,Utility IRP / sustainability reports
DC-00045,Microsoft Alviso,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00045,Microsoft Alviso,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00017,Clarksville Data Center,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00017,Clarksville Data Center,utility,Medium,State PUC dockets / utility IRP
DC-00017,Clarksville Data Center,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00017,Clarksville Data Center,cooling_detail,High,Building permits / vendor case studies
DC-00017,Clarksville Data Center,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00017,Clarksville Data Center,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00017,Clarksville Data Center,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00017,Clarksville Data Center,latitude,Medium,Building permits / county GIS / OSM
DC-00017,Clarksville Data Center,longitude,Medium,Building permits / county GIS / OSM
DC-00017,Clarksville Data Center,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00017,Clarksville Data Center,generation_mix,Medium,Utility IRP / sustainability reports
DC-00017,Clarksville Data Center,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00017,Clarksville Data Center,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00021,Project Blue Tucson,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00021,Project Blue Tucson,utility,Medium,State PUC dockets / utility IRP
DC-00021,Project Blue Tucson,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00021,Project Blue Tucson,cooling_detail,High,Building permits / vendor case studies
DC-00021,Project Blue Tucson,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00021,Project Blue Tucson,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00021,Project Blue Tucson,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00021,Project Blue Tucson,latitude,Medium,Building permits / county GIS / OSM
DC-00021,Project Blue Tucson,longitude,Medium,Building permits / county GIS / OSM
DC-00021,Project Blue Tucson,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00021,Project Blue Tucson,generation_mix,Medium,Utility IRP / sustainability reports
DC-00021,Project Blue Tucson,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00021,Project Blue Tucson,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00022,Compass Goodyear,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00022,Compass Goodyear,utility,Medium,State PUC dockets / utility IRP
DC-00022,Compass Goodyear,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00022,Compass Goodyear,cooling_detail,High,Building permits / vendor case studies
DC-00022,Compass Goodyear,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00022,Compass Goodyear,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00022,Compass Goodyear,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00022,Compass Goodyear,latitude,Medium,Building permits / county GIS / OSM
DC-00022,Compass Goodyear,longitude,Medium,Building permits / county GIS / OSM
DC-00022,Compass Goodyear,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00022,Compass Goodyear,generation_mix,Medium,Utility IRP / sustainability reports
DC-00022,Compass Goodyear,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00022,Compass Goodyear,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00023,Tract Buckeye,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00023,Tract Buckeye,utility,Medium,State PUC dockets / utility IRP
DC-00023,Tract Buckeye,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00023,Tract Buckeye,cooling_detail,High,Building permits / vendor case studies
DC-00023,Tract Buckeye,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00023,Tract Buckeye,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00023,Tract Buckeye,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00023,Tract Buckeye,latitude,Medium,Building permits / county GIS / OSM
DC-00023,Tract Buckeye,longitude,Medium,Building permits / county GIS / OSM
DC-00023,Tract Buckeye,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00023,Tract Buckeye,generation_mix,Medium,Utility IRP / sustainability reports
DC-00023,Tract Buckeye,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00023,Tract Buckeye,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00025,Fort Meade Campus,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00025,Fort Meade Campus,utility,Medium,State PUC dockets / utility IRP
DC-00025,Fort Meade Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00025,Fort Meade Campus,cooling_detail,High,Building permits / vendor case studies
DC-00025,Fort Meade Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00025,Fort Meade Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00025,Fort Meade Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00025,Fort Meade Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00025,Fort Meade Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00025,Fort Meade Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00025,Fort Meade Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00025,Fort Meade Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00025,Fort Meade Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00029,Meta Mesa,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00029,Meta Mesa,utility,Medium,State PUC dockets / utility IRP
DC-00029,Meta Mesa,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00029,Meta Mesa,cooling_detail,High,Building permits / vendor case studies
DC-00029,Meta Mesa,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00029,Meta Mesa,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00029,Meta Mesa,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00029,Meta Mesa,latitude,Medium,Building permits / county GIS / OSM
DC-00029,Meta Mesa,longitude,Medium,Building permits / county GIS / OSM
DC-00029,Meta Mesa,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00029,Meta Mesa,generation_mix,Medium,Utility IRP / sustainability reports
DC-00029,Meta Mesa,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00029,Meta Mesa,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00033,Meta New Albany,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00033,Meta New Albany,utility,Medium,State PUC dockets / utility IRP
DC-00033,Meta New Albany,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00033,Meta New Albany,cooling_detail,High,Building permits / vendor case studies
DC-00033,Meta New Albany,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00033,Meta New Albany,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00033,Meta New Albany,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00033,Meta New Albany,latitude,Medium,Building permits / county GIS / OSM
DC-00033,Meta New Albany,longitude,Medium,Building permits / county GIS / OSM
DC-00033,Meta New Albany,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00033,Meta New Albany,generation_mix,Medium,Utility IRP / sustainability reports
DC-00033,Meta New Albany,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00033,Meta New Albany,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00036,Google Project Pyramid,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00036,Google Project Pyramid,latitude,Medium,Building permits / county GIS / OSM
DC-00036,Google Project Pyramid,longitude,Medium,Building permits / county GIS / OSM
DC-00038,Google Ohio,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00038,Google Ohio,utility,Medium,State PUC dockets / utility IRP
DC-00038,Google Ohio,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00038,Google Ohio,cooling_detail,High,Building permits / vendor case studies
DC-00038,Google Ohio,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00038,Google Ohio,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00038,Google Ohio,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00038,Google Ohio,latitude,Medium,Building permits / county GIS / OSM
DC-00038,Google Ohio,longitude,Medium,Building permits / county GIS / OSM
DC-00038,Google Ohio,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00038,Google Ohio,generation_mix,Medium,Utility IRP / sustainability reports
DC-00038,Google Ohio,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00038,Google Ohio,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00039,Aligned Waddell Campus,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00039,Aligned Waddell Campus,utility,Medium,State PUC dockets / utility IRP
DC-00039,Aligned Waddell Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00039,Aligned Waddell Campus,cooling_detail,High,Building permits / vendor case studies
DC-00039,Aligned Waddell Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00039,Aligned Waddell Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00039,Aligned Waddell Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00039,Aligned Waddell Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00039,Aligned Waddell Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00039,Aligned Waddell Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00039,Aligned Waddell Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00039,Aligned Waddell Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00039,Aligned Waddell Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00044,Microsoft Goodyear,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00044,Microsoft Goodyear,utility,Medium,State PUC dockets / utility IRP
DC-00044,Microsoft Goodyear,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00044,Microsoft Goodyear,cooling_detail,High,Building permits / vendor case studies
DC-00044,Microsoft Goodyear,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00044,Microsoft Goodyear,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00044,Microsoft Goodyear,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00044,Microsoft Goodyear,latitude,Medium,Building permits / county GIS / OSM
DC-00044,Microsoft Goodyear,longitude,Medium,Building permits / county GIS / OSM
DC-00044,Microsoft Goodyear,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00044,Microsoft Goodyear,generation_mix,Medium,Utility IRP / sustainability reports
DC-00044,Microsoft Goodyear,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00044,Microsoft Goodyear,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00047,Apple Mesa,capacity_mw,High,Utility interconnection queue / FERC Form 715
DC-00047,Apple Mesa,utility,Medium,State PUC dockets / utility IRP
DC-00047,Apple Mesa,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00047,Apple Mesa,cooling_detail,High,Building permits / vendor case studies
DC-00047,Apple Mesa,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00047,Apple Mesa,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00047,Apple Mesa,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00047,Apple Mesa,latitude,Medium,Building permits / county GIS / OSM
DC-00047,Apple Mesa,longitude,Medium,Building permits / county GIS / OSM
DC-00047,Apple Mesa,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00047,Apple Mesa,generation_mix,Medium,Utility IRP / sustainability reports
DC-00047,Apple Mesa,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00047,Apple Mesa,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
